#####################################################################
# Alchemist log file - simulation started at: 2025-05-01T01:15+0000 #
#####################################################################
#
# update-frequency = 0.2, 5g-probability = 0.01, payload-size = 3, seed = 25.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.01312383417504 1.51e+03 1.56e+03 1.37e+03 2.35e+03 0.912 1.00 0.284 545588.5940773495 4.46423929039336E10 565232.4749865762 114.88687212316326 741586.664059533 8.815708954985285 84.0 4.951807228915663 1.0 33.79273396227818 72.0 450193.7105324003 7.900784885170607E10 521747.86317452765 1518.2481751824816 2255153.9967954303 3000.0 207516.26203584892 7.982302391240396E10 9853.191921756594 185457.1500801524 8.491799773457576E10 517.7457616830709 0.006768251250904729 2.802719849564769E-4 0.002890566403279475
120.01312383417505 1.51e+03 1.55e+03 1.36e+03 2.18e+03 0.911 1.00 0.284 525673.0554753089 3.805251127376922E10 556719.6238159138 8461.86696328453 3.8690990258769174E9 8.806765576503803 86.0 4.835294117647059 1.0 30.927275317160035 71.0 435216.69357152766 7.098657060273203E10 516895.8706599347 1518.2481751824816 2255153.9967954303 3000.0 207157.3341956314 8.022636512329988E10 9755.57365118288 184513.00138256836 8.43190718200569E10 517.7457616830709 0.00583452144547731 2.5644700110749743E-4 0.002349224245538539
180.01312383417505 1.51e+03 1.59e+03 1.37e+03 2.33e+03 0.907 1.00 0.290 546813.3363814206 4.159064506464384E10 565505.1969927845 205.66610521367616 1327730.6304927235 8.778645435100959 85.0 4.8928571428571415 1.0 31.652487238207428 71.0 450643.695197755 7.719863103137161E10 523346.1636897917 1518.2481751824816 2255153.9967954303 3000.0 208264.9194076586 8.081813914826921E10 9842.471290202242 186699.0067044801 8.543556302481375E10 517.7457616830709 0.005890680326378898 1.6174463311958908E-4 0.002879448765526796
240.01312383417505 1.51e+03 1.54e+03 1.38e+03 2.19e+03 0.903 1.00 0.296 528470.8954334192 3.826658724067325E10 556696.6236007566 1428.123122870199 9.912127532838278E7 8.801198930594351 87.0 4.779069767441865 1.0 27.96695577990339 71.0 437202.0400582134 7.200243855687047E10 516895.8706599347 1518.2481751824816 2255153.9967954303 3000.0 206784.14075114604 8.135034117626723E10 9379.906293093049 185443.11550559133 8.531549653426381E10 471.9937944350218 0.006390362121840455 3.516928274102886E-4 0.002341610647202035
300.0131238341751 1.51e+03 1.55e+03 1.37e+03 2.34e+03 0.906 1.00 0.293 530694.1565851772 4.088964002469433E10 558045.9430114112 207.93671177491944 1346329.7948211418 8.80093726137254 86.0 4.835294117647059 1.0 30.824328308760816 71.0 438923.1544806502 7.390848723808069E10 518324.27803968266 1518.2481751824816 2255153.9967954303 3000.0 208128.91691740532 8.176497790014708E10 9755.57365118288 184277.32156437877 8.581668451629922E10 471.9937944350218 0.007125904583871596 3.2957077468038365E-4 0.00308897679538298
360.0131238341751 1.51e+03 1.55e+03 1.36e+03 2.18e+03 0.911 1.00 0.285 527714.4329726401 3.8124579969420715E10 558045.9430114112 1427.9101547861478 9.805808020614003E7 8.801324902084753 86.0 4.835294117647059 1.0 29.970559784253478 71.0 436474.5162964347 7.159203548825238E10 518179.5219468529 1518.2481751824816 2255153.9967954303 3000.0 207764.99469056068 8.139654848809563E10 9755.57365118288 188205.82221317207 8.435705135464746E10 483.2293775708662 0.006232832317067524 2.1032312134208045E-4 0.002417847035082784
420.0131238341751 1.51e+03 1.55e+03 1.36e+03 2.29e+03 0.910 1.00 0.286 548333.6989720298 4.1861345935682014E10 565589.5005305624 2251.5294500038167 2.8593094757775414E8 8.806422104264966 86.0 4.835294117647059 1.0 31.24817977892148 71.0 451317.27288341237 7.719393121454408E10 522147.30008967046 1518.2481751824816 2255153.9967954303 3000.0 207201.05359984015 8.066710381162436E10 9755.57365118288 186895.373777398 8.359584183185521E10 483.2293775708662 0.0064884023726581004 2.1481478114285132E-4 0.002879448765526796
480.0131238341751 1.51e+03 1.56e+03 1.36e+03 1.98e+03 0.799 1.00 0.387 537302.9615555183 4.038591957999466E10 562851.4640885254 595.6986631688447 5663844.473506105 8.84387724260326 86.0 4.835294117647059 1.0 28.7397381515491 71.0 444335.8818028498 7.445914700809685E10 523308.3766434884 1518.2481751824816 2255153.9967954303 3000.0 207650.41107352017 7.934444106127841E10 10145.442255304359 184887.4618714705 8.365364773921225E10 483.2293775708662 0.006249445003913792 2.1631024106946595E-4 0.0020940815582671827
