#####################################################################
# Alchemist log file - simulation started at: 2025-04-30T13:48+0000 #
#####################################################################
#
# update-frequency = 0.0166666667, 5g-probability = 0.02, payload-size = 3, seed = 3.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.0165482235415 1.13e+03 1.16e+03 1.16e+03 1.23e+03 0.805 1.00 0.396 547342.2359617135 8.34774712775189E10 606312.3336433583 12.305770377495056 41.66822849903352 8.88906307997178 216.0 1.9116279069767417 1.0 7.7264326410205415 196.0 296600.56257340324 1.1411770982040166E11 87178.86686206664 1138.686131386864 2124621.6841730536 0.0 137469.55200137236 5.659404437460156E10 8.927532975602414 275999.35560431145 7.359085462366496E10 168496.16761875516 0.0024289130580343534 7.16067294131445E-5 0.0
120.01654822354149 1.51e+03 1.50e+03 1.26e+03 1.81e+03 0.856 1.00 0.352 579840.3261038883 7.37673261696301E10 608062.7365606816 6772.5390932635955 5.418517344319297E9 8.813155499967278 150.0 2.7583892617449597 1.0 17.482288723436987 135.0 395776.9252151115 1.1938604404786154E11 434116.1704400225 1518.2481751824816 2255153.9967954303 3000.0 197552.25510044207 7.80430347433504E10 10.536662966482291 186325.28667475207 8.121031214693535E10 0.0 0.00323514853660957 7.594557686985015E-5 0.0016011504591922094
180.0165482235415 1.51e+03 1.53e+03 1.25e+03 1.80e+03 0.892 1.00 0.310 545646.7572453239 7.96455776684994E10 572933.390845554 3963.566344169996 5.860438983049674E8 8.837202404160244 149.0 2.777027027027024 1.0 18.823137067462675 131.0 373565.17204156035 1.1497822472120847E11 348713.7044450818 1518.2481751824816 2255153.9967954303 3000.0 203788.64465950508 7.972917939652103E10 8915.56826271197 185922.88534238975 8.296246815976112E10 0.0 0.004059753774519244 1.2635173313124516E-4 0.0016586727160648382
240.0165482235415 1.51e+03 1.53e+03 1.41e+03 1.88e+03 0.877 1.00 0.329 521076.7206248255 7.232623458250272E10 565420.8934550065 1979.6806650214355 4.9101475960640293E8 8.837202404160244 141.0 2.9357142857142877 1.0 20.032782741751337 125.0 361847.34782290045 1.0535950051015553E11 346634.5867729087 1518.2481751824816 2255153.9967954303 3000.0 206833.2508329778 8.114427289701674E10 9379.906293093049 190754.83064096337 8.378567376198622E10 9.358164754216851 0.00476604017232718 1.3786861735871556E-4 0.0017361000180180419
300.01654822354146 1.51e+03 1.52e+03 1.42e+03 1.90e+03 0.878 1.00 0.327 490102.263550433 6.106543308381943E10 552886.0029520537 1900.554750093332 4.5224639180892295E8 8.837202404160244 141.0 2.9357142857142877 1.0 20.621707747453303 126.0 341724.3421874105 9.136871478880667E10 348713.7044450818 1518.2481751824816 2255153.9967954303 3000.0 205808.2394441167 8.143737346617056E10 9331.409920023909 189899.62536690422 8.398613148128723E10 1776.3766301618878 0.005064403891556136 1.4461472990492626E-4 0.001744006178619006
360.01654822354146 1.51e+03 1.53e+03 1.40e+03 1.89e+03 0.863 1.00 0.344 481462.9293632516 6.109538404384271E10 550211.875363448 109.67485226656804 1147088.2892073013 8.836115394710944 137.0 3.022058823529409 1.0 21.26393814323856 120.0 337183.5053573468 8.987093842681839E10 332156.4331125995 1518.2481751824816 2255153.9967954303 3000.0 207009.62990393015 8.161698734765826E10 9379.906293093049 188783.17263166004 8.423692856857454E10 1776.3766301618878 0.0050994198805629715 1.3005169465707948E-4 0.0017660265412419787
420.01654822354146 1.51e+03 1.53e+03 1.40e+03 1.84e+03 0.869 1.00 0.338 486381.9229888021 5.919255287751413E10 552606.2306676735 595.766772767008 3.1004709834280133E7 8.819778111623714 138.0 3.0 1.0 20.931260044699258 122.0 338160.0196051579 8.970076699913177E10 345966.71941542416 1518.2481751824816 2255153.9967954303 3000.0 206784.910606437 8.122589244298334E10 9379.906293093049 187292.3678767652 8.380370344082393E10 1776.3766301618878 0.0052379544069685695 1.3096338159706265E-4 0.0017361000180180419
480.01654822354146 1.51e+03 1.53e+03 1.39e+03 1.87e+03 0.863 1.00 0.344 480999.1346041465 6.0277388055334694E10 551693.9392266029 1887.963422607098 2.711224857943406E8 8.819778111623714 138.0 3.0 1.0 20.93055745301872 122.0 336257.7599128182 8.911842047674239E10 320811.44036127604 1518.2481751824816 2255153.9967954303 3000.0 206393.4887636033 8.05763151588036E10 9379.906293093049 188026.75458834067 8.192687024803209E10 2909.9954781159736 0.005663806097301551 1.5005542411479096E-4 0.001744006178619006
