#####################################################################
# Alchemist log file - simulation started at: 2025-05-01T01:08+0000 #
#####################################################################
#
# update-frequency = 0.1, 5g-probability = 0.05, payload-size = 3, seed = 25.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.01312383417504 1.51e+03 1.55e+03 1.37e+03 2.25e+03 0.884 1.00 0.320 605109.398545541 5.152607009129187E10 608544.6108399963 27268.44012078859 1.4494982646069569E10 8.865150707667823 71.0 5.8714285714285745 1.0 34.548819241373245 57.0 523307.07767222414 8.643985547917377E10 566573.120704399 1518.2481751824816 2255153.9967954303 3000.0 206988.6997690841 7.999375899281812E10 9755.57365118288 185440.69678311725 8.491169712167427E10 517.7457616830709 0.0055019293432864306 1.2151724238035371E-4 0.003411193149395221
120.01312383417505 1.51e+03 1.55e+03 1.36e+03 2.29e+03 0.884 1.00 0.321 568375.5346531647 4.481600521024103E10 578477.9469336099 10910.922876709355 3.060591538275411E9 8.85704981541867 69.0 6.044117647058824 1.0 36.7559250268983 59.0 493495.47043205664 7.627120696784721E10 557684.33828064 1518.2481751824816 2255153.9967954303 3000.0 204408.97951449972 7.903909897749222E10 9379.906293093049 184496.9238792442 8.431028790365099E10 517.7457616830709 0.008227633672615626 3.0498835368880737E-4 0.004041762426958091
180.01312383417505 1.51e+03 1.55e+03 1.37e+03 2.35e+03 0.884 1.00 0.321 559713.7958586499 4.4308586572673645E10 573368.3846591379 3286.015354286697 5.022569810978314E8 8.849516180452323 68.0 6.1343283582089505 1.0 37.88655135276503 59.0 483695.54824721284 7.474853051847922E10 551654.7343738769 1518.2481751824816 2255153.9967954303 3000.0 207677.82012137148 8.10170011208851E10 9755.57365118288 186683.0525758447 8.542676171205917E10 517.7457616830709 0.008437707686242097 2.6402008664758517E-4 0.004041762426958091
240.01312383417505 1.51e+03 1.55e+03 1.38e+03 2.21e+03 0.883 1.00 0.321 543066.8784498537 4.15079899853987E10 563853.6283874434 14778.167005206278 4.83835493206512E9 8.85704981541867 69.0 6.044117647058824 1.0 35.332718684777085 58.0 473851.7706225064 7.059541409659177E10 534664.138509711 1518.2481751824816 2255153.9967954303 3000.0 207979.36812640875 8.144248258162901E10 9755.57365118288 185405.8060648547 8.529270324236578E10 471.9937944350218 0.00864294871983786 3.719022236893534E-4 0.00352171323887256
300.0131238341751 1.51e+03 1.55e+03 1.37e+03 2.08e+03 0.883 1.00 0.322 537020.3471274868 3.638188260513378E10 560291.6013590354 9894.175090685223 2.1191350591326225E9 8.863532867359693 70.0 5.956521739130433 1.0 33.27754709507533 57.0 466335.0644323267 6.592388662835347E10 528529.1493838932 1518.2481751824816 2255153.9967954303 3000.0 208111.5518992104 8.175402943565076E10 9755.57365118288 183924.22825734384 8.54428800224937E10 471.9937944350218 0.008686105021059187 3.5487374353427784E-4 0.00348551219492552
360.0131238341751 1.51e+03 1.55e+03 1.36e+03 2.16e+03 0.881 1.00 0.324 542493.2927839159 4.1446439373976326E10 561955.7075650269 2927.9579629969603 3.6277297191600263E8 8.863532867359693 68.0 6.1343283582089505 1.0 34.9973572692274 55.0 471110.28299781523 6.97101047937502E10 532538.4755487088 1518.2481751824816 2255153.9967954303 3000.0 207750.7322152254 8.138649678869812E10 9755.57365118288 187784.945133227 8.445395444430408E10 483.2293775708662 0.007856966963342324 2.2401890759401333E-4 0.003819604584181043
420.0131238341751 1.51e+03 1.55e+03 1.35e+03 2.32e+03 0.881 1.00 0.324 551326.9880810196 4.164252776836067E10 566903.3358538576 359.8449329644907 2189117.178252398 8.816571277886473 68.0 6.1343283582089505 1.0 35.838398030683535 57.0 476490.35762383696 7.118234585103123E10 541372.6099910056 1518.2481751824816 2255153.9967954303 3000.0 207193.80086216636 8.066178845627017E10 9755.57365118288 185931.66063613977 8.370801751108237E10 483.2293775708662 0.00895012350107226 2.557713833564585E-4 0.00404527164309957
480.0131238341751 1.51e+03 1.56e+03 1.35e+03 2.32e+03 0.886 1.00 0.318 537507.2956536601 4.255893993352183E10 562354.2780346043 342.654436361766 2079415.0655989193 8.86203849196595 68.0 6.1343283582089505 1.0 37.63859057773589 57.0 464648.22818468255 7.026945918937086E10 530784.587356221 1518.2481751824816 2255153.9967954303 3000.0 207724.11881881006 7.932704620105962E10 10145.442255304359 183835.67446383068 8.356642851954065E10 483.2293775708662 0.009862343322583837 2.874154543100938E-4 0.00404527164309957
