#####################################################################
# Alchemist log file - simulation started at: 2025-05-01T05:56+0000 #
#####################################################################
#
# update-frequency = 0.2, 5g-probability = 0.1, payload-size = 3, seed = 6.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.011641857147666 1.52e+03 1.67e+03 1.43e+03 2.35e+03 0.879 1.00 0.326 537270.7937835086 5.159921334029306E10 563348.6501424464 4838.321629039431 9.372351030092916E8 8.936644126111958 57.0 7.33928571428571 1.0 36.90295715458654 43.0 482808.57990131434 7.181578774128215E10 539350.1917335658 1525.5474452554724 2254833.541036125 3000.0 208198.96571119525 7.958564218239671E10 10145.442255304359 186346.37921222553 8.471359797149147E10 1130.498666569695 0.00831289999727107 2.717658931796081E-4 0.00419678064418552
120.01164185714767 1.52e+03 1.65e+03 1.42e+03 2.38e+03 0.881 1.00 0.324 542658.6916029116 4.3934085024222946E10 565232.4749865762 6254.440023609358 7.300846820101478E8 8.977691914135457 60.0 6.966101694915247 1.0 36.747022446439566 47.0 482935.36447060475 6.693103364907604E10 544574.3957013496 1525.5474452554724 2254833.541036125 3000.0 207876.1964718559 8.003456417534373E10 9857.966181083131 185333.03127272718 8.406011046999222E10 1130.498666569695 0.00818512182481084 1.6545618823051898E-4 0.004179747093076015
180.01164185714765 1.52e+03 1.68e+03 1.43e+03 2.41e+03 0.871 1.00 0.336 549725.836761701 4.472476496644863E10 568260.0902949283 4333.773318037794 7.272517336580513E8 8.921962787615382 57.0 7.33928571428571 1.0 35.970329584111596 43.0 495633.38898362196 6.6762672145359184E10 552606.2306676735 1525.5474452554724 2254833.541036125 3000.0 208936.8497310103 8.063175068308484E10 9916.900086088286 187522.16143326348 8.517604640656564E10 1130.498666569695 0.008946285800785771 3.2533725662635995E-4 0.004182648733993264
240.01164185714765 1.52e+03 1.64e+03 1.44e+03 2.40e+03 0.861 1.00 0.347 544275.1425978298 4.492747103573042E10 565326.6842207913 576.0593075821316 7509683.933764408 8.921952752707888 55.0 7.611111111111113 1.0 33.89574285434378 42.0 490564.13068499794 6.668966965043236E10 545614.7977839983 1525.5474452554724 2254833.541036125 3000.0 207033.08174448006 8.08017385355686E10 9853.191921756594 186227.09065619955 8.503262362768692E10 1130.498666569695 0.0097136350731615 3.290769903829797E-4 0.004182648733993264
300.01164185714765 1.52e+03 1.65e+03 1.43e+03 2.40e+03 0.868 1.00 0.339 518658.9770120237 4.213000706389022E10 552265.2734015927 561.7146984054327 7322353.448641712 8.923114229191917 56.0 7.472727272727271 1.0 35.743351904755755 43.0 467774.2375012796 6.1997631789645164E10 525372.4384931497 1525.5474452554724 2254833.541036125 3000.0 208816.29822107434 8.153927113258504E10 9857.966181083131 184544.7299905575 8.530520259822362E10 1130.498666569695 0.012344867245268292 5.915159702952019E-4 0.00419678064418552
360.01164185714765 1.52e+03 1.59e+03 1.40e+03 2.40e+03 0.862 1.00 0.345 558464.7528344325 4.35050980865785E10 572474.3176851308 804.3185630497164 8300400.284404627 8.957472832588259 58.0 7.210526315789469 1.0 32.11738338952088 45.0 498501.58130379464 6.8380383203067726E10 556369.6680290112 1525.5474452554724 2254833.541036125 3000.0 208367.95530486346 8.114729844299852E10 9857.966181083131 188400.3396395705 8.473841136192331E10 2123.098961134012 0.008815159168333982 2.741717407336069E-4 0.004182430949639198
420.01164185714765 1.52e+03 1.60e+03 1.41e+03 2.38e+03 0.868 1.00 0.339 543262.7339783185 4.3947321896920654E10 563277.2632593925 4585.046780158871 7.427603773029283E8 8.977464323742241 60.0 6.966101694915248 1.0 31.975726840136016 46.0 482790.7551809191 6.777416772172259E10 536689.0873830796 1525.5474452554724 2254833.541036125 3000.0 205596.98336686293 7.964440674995728E10 9853.191921756594 187492.11966880126 8.436539902516669E10 2123.098961134012 0.009338345777973064 3.430783343487689E-4 0.004182171376824573
480.01164185714765 1.52e+03 1.60e+03 1.39e+03 2.39e+03 0.875 1.00 0.322 566083.8589146548 4.516410959539716E10 575277.029969793 836.7106769841837 7985634.109171338 8.905884518394853 60.0 6.966101694915248 1.0 32.32804168781011 46.0 502121.46127056476 7.167444344621016E10 554489.3378003446 1525.5474452554724 2254833.541036125 3000.0 207937.93303607503 7.924524290183925E10 11485.649962197906 184216.41891775664 8.321149575244023E10 1794.0195276046761 0.010097205055905637 2.935958287850982E-4 0.004181781561780307
