#####################################################################
# Alchemist log file - simulation started at: 2025-04-30T18:00+0000 #
#####################################################################
#
# update-frequency = 0.2, 5g-probability = 0.2, payload-size = 3, seed = 22.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.00001219303487 1.55e+03 1.70e+03 1.44e+03 2.63e+03 0.908 1.00 0.289 551174.3205238234 5.4460940763768936E10 568773.7409049292 484.47186036941883 3167828.883891442 8.824131045928869 28.0 15.222222222222216 1.0 59.891782750437805 16.0 531799.3785378597 6.234908692008828E10 562851.4640885254 1554.7445255474454 2252483.532134576 3000.0 208279.43903368406 7.950962314297656E10 10201.42092004786 186314.0214211724 8.458695971880756E10 1297.4561779303208 0.01050708499341303 2.719287911285774E-4 0.00630364022059666
120.00001219303488 1.55e+03 1.69e+03 1.43e+03 2.55e+03 0.913 1.00 0.283 539653.1701782736 5.127489328375358E10 565058.1956542137 19275.2777639235 3.3230713799094334E9 8.87943894621369 31.0 13.700000000000006 1.0 56.918059675654575 17.0 516457.52130853693 6.0340350778395004E10 556369.6680290112 1554.7445255474454 2252483.532134576 3000.0 207936.45079175173 7.989253857256271E10 10145.442255304359 185355.96962683453 8.398836582477612E10 1297.4561779303208 0.012387492095084498 1.9261868592663012E-4 0.005335061339934823
180.00001219303488 1.55e+03 1.71e+03 1.44e+03 2.20e+03 0.909 1.00 0.276 527834.9734011979 5.139670054801538E10 561101.3745031414 30276.276738897526 7.542664934134878E9 8.87943894621369 33.0 12.84375 1.5 47.21611901841669 16.0 512641.96194424183 5.855355636733825E10 552910.9830477386 1554.7445255474454 2252483.532134576 3000.0 208857.56354274487 8.056073164075821E10 10209.259559002458 187560.17208609398 8.511123878286223E10 1297.4561779303208 0.010549850064478027 3.196188711462271E-4 0.004530031466541363
240.00001219303488 1.55e+03 1.67e+03 1.44e+03 1.94e+03 0.890 1.00 0.277 532519.093348516 4.819422101220295E10 560165.2200838258 20262.92674427608 3.2942760193650436E9 8.874398459013793 29.0 14.678571428571434 1.0 45.89606097148657 16.0 515490.71460540174 5.559807443875106E10 552269.3996127881 1554.7445255474454 2252483.532134576 3000.0 207593.87670162396 8.10797377643238E10 9916.900086088286 186322.7004860732 8.503126813035724E10 2123.098961134012 0.012187270992730027 3.325658511987817E-4 0.005335061339934823
300.0000121930349 1.55e+03 1.68e+03 1.44e+03 2.55e+03 0.882 1.00 0.313 515906.9703735274 4.3750191013084305E10 552204.0884198921 1585.2156959823385 3.727558848497068E7 8.88489237094876 30.0 14.172413793103445 1.0 44.87607457170824 17.0 500118.14302189625 5.111317671694813E10 542594.84570617 1554.7445255474454 2252483.532134576 3000.0 208919.77377202665 8.148009534565813E10 10145.442255304359 185167.07053562868 8.5539653851065E10 1297.4561779303208 0.013565465793991628 4.385574871591951E-4 0.005463452281269509
360.0000121930349 1.55e+03 1.61e+03 1.42e+03 2.51e+03 0.892 1.00 0.302 512094.3439953272 4.381187405976397E10 552265.2734015927 14023.692409024257 2.3291616151627417E9 8.901068302347873 32.0 13.258064516129037 1.0 47.5772829138273 18.0 493372.373781013 5.2128191235191765E10 541372.6099910056 1554.7445255474454 2252483.532134576 3000.0 208445.88545022052 8.119625791010873E10 10145.442255304359 187046.2086066487 8.592550885886235E10 1297.4561779303208 0.014673542206417929 4.8564464454874275E-4 0.005181663409755594
420.0000121930349 1.55e+03 1.60e+03 1.39e+03 2.44e+03 0.888 1.00 0.306 507484.5626391609 4.738121314907656E10 551615.529521151 42503.17042796378 1.1626952712068647E10 8.88489237094876 33.0 12.84375 1.0 43.27415184312611 17.0 490115.3264905157 5.4744898529209114E10 535705.3830073052 1554.7445255474454 2252483.532134576 3000.0 207712.06950232244 8.051887088398314E10 10145.442255304359 185329.55599160242 8.498667284431442E10 1297.4561779303208 0.015060365610924107 6.00904056189734E-4 0.0051117694099358625
480.0000121930349 1.55e+03 1.61e+03 1.39e+03 2.35e+03 0.898 1.00 0.294 518952.270267074 5.081175493287215E10 556042.7124572657 32134.08484963671 9.949841517713945E9 8.85481735040328 31.0 13.700000000000005 1.0 47.920300212058265 16.0 501601.6417019786 5.883847427244413E10 546757.6041157217 1554.7445255474454 2252483.532134576 3000.0 208051.2165397681 7.923214959989172E10 12878.363317933981 187164.57059092453 8.544258986524522E10 1297.4561779303208 0.013906408200408699 6.857581623794271E-4 0.004395636285046826
