#####################################################################
# Alchemist log file - simulation started at: 2025-04-30T13:48+0000 #
#####################################################################
#
# update-frequency = 0.1, 5g-probability = 0.1, payload-size = 3, seed = 0.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.011337332612456 1.55e+03 1.70e+03 1.44e+03 2.57e+03 0.967 1.00 0.179 621546.4851000136 5.7014988114965E10 620804.7716998474 769.9610722109251 8784239.63988205 8.843489469681849 53.0 7.903846153846155 1.0 42.767616306323276 46.0 553854.8299591499 8.821662945989427E10 590655.8887840615 1554.7445255474454 2252483.532134576 3000.0 208109.420727408 7.957236276711383E10 10156.726406366095 186269.1252163769 8.454178585660413E10 1297.4561779303208 0.006009249022650964 1.2194425631844723E-4 0.004197950533626427
120.01133733261246 1.55e+03 1.69e+03 1.43e+03 2.57e+03 0.967 1.00 0.179 540615.718136007 4.7678261808699684E10 563312.9567009194 21655.94814459702 8.996031147311913E9 8.83535765548509 53.0 7.903846153846155 1.0 43.04728800429696 46.0 485702.63821702835 7.033247942923582E10 545614.7977839983 1554.7445255474454 2252483.532134576 3000.0 205859.76060763266 7.9012834115505E10 9916.900086088286 185329.11803237986 8.397121662475002E10 1297.4561779303208 0.008896959254359342 2.929128093850495E-4 0.004167371202273038
180.01133733261247 1.55e+03 1.69e+03 1.44e+03 2.52e+03 0.967 1.00 0.179 553693.3540522442 4.930270309620164E10 565420.8934550065 10194.022768044131 1.679716280762628E9 8.84665966162826 54.0 7.754716981132081 1.0 41.69159003018813 46.0 493807.8677849577 7.339652565590685E10 546757.6041157217 1554.7445255474454 2252483.532134576 3000.0 208436.04084745882 8.068541110681209E10 10145.442255304359 187535.60603170175 8.509766588198904E10 1297.4561779303208 0.008848269641082717 2.896170561031733E-4 0.004197950533626427
240.01133733261247 1.55e+03 1.68e+03 1.44e+03 2.56e+03 0.964 1.00 0.186 551106.1967274328 4.5749785638900345E10 565058.1956542137 197.77274680722795 1230499.228830115 8.791914341605889 52.0 8.058823529411761 1.0 39.7167026651035 43.0 496818.6492511461 6.885153287870366E10 549667.2258722263 1554.7445255474454 2252483.532134576 3000.0 207141.02872353882 8.073985746981491E10 9916.900086088286 186273.6799231736 8.536347496438321E10 1297.4561779303208 0.009487777069473635 3.4505358257944514E-4 0.0041430801582576894
300.01133733261247 1.55e+03 1.69e+03 1.42e+03 2.37e+03 0.967 1.00 0.179 557882.8207110731 4.858668357883226E10 566573.120704399 9152.890556365666 1.3282670386310294E9 8.832584368409304 53.0 7.903846153846155 1.0 40.22644706832279 45.0 501609.34675375285 7.248097456226976E10 556369.6680290112 1554.7445255474454 2252483.532134576 3000.0 208929.1125128782 8.149148393678766E10 10145.442255304359 183640.8413288413 8.50380821286093E10 1297.4561779303208 0.010415895867685375 4.822276325925163E-4 0.004181272138379822
360.01133733261247 1.55e+03 1.61e+03 1.42e+03 2.47e+03 0.964 1.00 0.178 549811.5512319527 4.41856569329498E10 564883.9163218511 12075.541616904091 1.7961226773695881E9 8.84730910810728 55.0 7.611111111111113 1.0 38.16815657194656 46.0 491919.00154137827 6.822457792096119E10 551654.7343738769 1554.7445255474454 2252483.532134576 3000.0 208457.25395229596 8.116974872663171E10 10145.442255304359 187031.1809965919 8.590595951292082E10 1297.4561779303208 0.009982046215256156 2.9359539312560597E-4 0.004182171376824573
420.01133733261247 1.55e+03 1.63e+03 1.42e+03 2.60e+03 0.966 1.00 0.181 554596.9246727295 4.62299087983772E10 570918.0356155129 9299.323612815457 1.4855805816408825E9 8.791914341605889 52.0 8.058823529411761 1.0 38.328794275169145 45.0 497643.91933983314 6.976791769949895E10 556369.6680290112 1554.7445255474454 2252483.532134576 3000.0 205720.01138356028 7.955447479202191E10 9916.900086088286 187723.53832737985 8.568735674077328E10 1297.4561779303208 0.011125024685269448 4.3516228467516317E-4 0.004214607667532395
480.01133733261247 1.55e+03 1.69e+03 1.40e+03 2.35e+03 0.968 1.00 0.176 553847.1960626697 4.871511079344683E10 571258.5450798301 12168.462367110656 3.2882330212468095E9 8.788078014137687 51.0 8.219999999999995 1.0 36.24761216625315 43.0 497889.9041966434 7.143798116688768E10 552910.9830477386 1554.7445255474454 2252483.532134576 3000.0 208103.51737642058 7.913708743447781E10 12878.363317933981 183826.55785748895 8.443114924746506E10 1297.4561779303208 0.16761470570123208 5.015384670353939 0.004214607667532395
