#####################################################################
# Alchemist log file - simulation started at: 2025-04-30T21:03+0000 #
#####################################################################
#
# update-frequency = 0.2, 5g-probability = 0.05, payload-size = 3, seed = 23.0
#
# The columns have the following meaning: 
# time b1dr[mean] b2dr[mean] b3dr[mean] bcdr[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.03074991279267 1.51e+03 1.57e+03 1.37e+03 2.13e+03 0.870 1.00 0.336 539093.4063168406 4.741225037356076E10 562154.9927998156 429.23289094603933 5307871.706989704 8.858042827315625 96.0 4.326315789473684 1.0 29.128636967790698 80.0 430130.6428494266 8.386126510751318E10 512430.1657699046 1518.2481751824816 2255153.9967954303 3000.0 207900.35803102283 7.975434022074095E10 9853.191921756594 185536.41857772748 8.498062247032129E10 517.7457616830709 0.00649980725131895 1.8524048485724684E-4 0.0026593840482638537
120.03074991279267 1.51e+03 1.55e+03 1.36e+03 1.97e+03 0.868 1.00 0.337 541813.1700650473 4.44903515213532E10 565505.1969927845 965.6793518645106 4.682448960857743E7 8.852430911040802 97.0 4.28125 1.0 26.487217622249812 79.0 432300.4615912503 8.201141749665381E10 518502.88400292804 1518.2481751824816 2255153.9967954303 3000.0 207214.0457075535 8.02436463956861E10 9755.57365118288 184534.44832151826 8.433505581856148E10 517.7457616830709 0.007255842160654755 2.1230198720999645E-4 0.0027032578473248454
180.03074991279266 1.51e+03 1.55e+03 1.37e+03 2.11e+03 0.853 1.00 0.348 525265.017711987 4.1155677810670906E10 559042.3909100136 238.89713216908095 2251303.9512472176 8.836681724357234 95.0 4.372340425531916 1.0 27.060260925298383 78.0 422033.3612428236 7.63931743470127E10 508282.83550589293 1518.2481751824816 2255153.9967954303 3000.0 207731.42052259858 8.105068782352882E10 9755.57365118288 186732.92913258562 8.546234471872131E10 517.7457616830709 0.007235837483409861 2.1196783123799814E-4 0.00276031577245629
240.03074991279266 1.51e+03 1.55e+03 1.38e+03 1.99e+03 0.860 1.00 0.340 518712.23625445255 4.1890727677929634E10 552935.9631434234 853.1200866441797 4.7040714176611945E7 8.85534564162928 94.0 4.4193548387096815 1.0 26.818359456295426 78.0 418308.5520847948 7.571836410319963E10 501296.8260820017 1518.2481751824816 2255153.9967954303 3000.0 208038.574309851 8.1476277949308E10 9755.57365118288 185433.21716096802 8.530956930015826E10 471.9937944350218 0.007332724078191277 2.2504176218689762E-4 0.0027481408999576215
300.03074991279266 1.51e+03 1.55e+03 1.37e+03 2.16e+03 0.860 1.00 0.347 552445.9925683193 4.3965626168731094E10 565970.0358141286 4562.9937884380215 1.4963367726474414E9 8.858042827315625 96.0 4.326315789473684 1.0 26.913352734862485 80.0 443675.4790952439 8.309981265333118E10 525372.4384931497 1518.2481751824816 2255153.9967954303 3000.0 208195.9078298044 8.181418702885303E10 9755.57365118288 184336.92136126477 8.586665570752696E10 471.9937944350218 0.007402755861817218 2.229217584543393E-4 0.002701603950960714
360.03074991279266 1.51e+03 1.55e+03 1.36e+03 2.10e+03 0.855 1.00 0.345 547483.8263954233 4.301289186525259E10 565643.3333019395 1949.6212473428156 1.00139664507382E8 8.866883468759927 97.0 4.28125 1.0 26.671373625155333 81.0 436430.536582837 8.224204226326521E10 522114.1728211989 1518.2481751824816 2255153.9967954303 3000.0 207779.27385205528 8.140048942245834E10 9755.57365118288 187270.8421922559 8.508498901371248E10 483.2293775708662 0.00741308549492858 2.1142857561619116E-4 0.002451017445784699
420.03074991279266 1.51e+03 1.55e+03 1.36e+03 2.10e+03 0.853 1.00 0.348 544399.6697469094 4.271609721036752E10 565970.0358141286 813.3191644092518 1.6642158625287117E7 8.85698944345451 95.0 4.372340425531916 1.0 27.054299856031562 79.0 436437.024807849 8.086063089481488E10 518585.03308253974 1518.2481751824816 2255153.9967954303 3000.0 207161.9050644801 8.060779311010915E10 9755.57365118288 185741.44370062192 8.421534512654326E10 483.2293775708662 0.007263804681621367 2.050284233182906E-4 0.00276031577245629
480.03074991279266 1.51e+03 1.56e+03 1.36e+03 2.10e+03 0.862 1.00 0.329 545554.5908907617 4.453170121276433E10 564883.9163218511 647.732179959087 7384363.660821722 8.8307895052625 95.0 4.372340425531916 1.0 27.053902404712804 78.0 438647.26917251624 8.214994777364034E10 521240.3754596316 1518.2481751824816 2255153.9967954303 3000.0 207631.93581977554 7.93251220930103E10 10145.442255304359 186540.2021858646 8.416512923119522E10 483.2293775708662 0.10870828387013955 2.081295273157224 0.00276031577245629
